"Company Location","Job Functions","Employment Type","Industry","Company Name","position","Seniority Level"
"Kraków, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","ATUT","Zatrudnię szkoleniowców","Entry level",
"Kraków, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","ATUT","Zatrudnię szkoleniowców","Entry level",
"Majdan Królewski, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Kuratorium Oświaty w Rzeszowie","Neurologopeda","Entry level",
"Majdan Królewski, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Kuratorium Oświaty w Rzeszowie","Neurologopeda","Entry level",
"Wolsztyn, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Dakpol Sp. z o. o.","Oferty pracy dla kierowców","Entry level",
"Warząchewka Polska, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Computer & Network Security","Atos","Operations Enginner","Entry level",
"Łódź, PL","Business Development Sales","Full-time","Information Technology & Services Insurance Financial Services","Conduent","Transformation Consultant","Associate",
"Zukowo, PL","Other","Full-time","Information Technology & Services Insurance Financial Services","Takeaway.com","Praca na zmiany - Dostarczaj z jedzenia Gdansk","Associate",
"Opole, PL","Other","Full-time","Information Technology & Services Insurance Financial Services","GEST RISORSE SP. Z O.O.","PIELEGNIARKI OSS","Associate",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Banking Financial Services","CBRE CORPORATE OUTSOURCING Sp. z o. o.","Client reporting Analyst","Associate",
"Gdańsk, PL","Management Manufacturing","Full-time","Information Technology & Services Banking Financial Services","Oferta zamknięta. Dane pracodawcy dostępne w urzędzie.","Kucharz","Entry level",
"Zukowo, PL","Other","Full-time","Information Technology & Services Banking Financial Services","Takeaway.com","Dostarczaj z jedzenia Gdansk","Entry level",
"Zukowo, PL","Other","Full-time","Information Technology & Services Banking Financial Services","Takeaway.com","Dostarczaj z jedzenia Gdansk","Entry level",
"Wasilków, PL","Other","Full-time","Information Technology & Services Banking Financial Services","Centralna Baza Ofert Pracy","SPRZĄTAJĄCA","Entry level",
"Wasilków, PL","Other","Full-time","Information Technology & Services Banking Financial Services","Centralna Baza Ofert Pracy","SPRZĄTAJĄCA","Entry level",
"Kraków, PL","Other","Full-time","Information Technology & Services Banking Financial Services","Innovated","Wykonam szybko profesjonalną stronę internetową za 129 zł","Entry level",
"Lichnowy, PL","Other","Full-time","Information Technology & Services Banking Financial Services","Usługi komunalno-transportowe AMAR Mariusz Rudnik","Brukarz","Entry level",
"Lichnowy, PL","Other","Full-time","Information Technology & Services Banking Financial Services","Usługi komunalno-transportowe AMAR Mariusz Rudnik","Brukarz","Entry level",
"Kraków, PL","Management Manufacturing","Contract","Management Consulting","Capgemini","Contract Management Lead","Mid-Senior level",
"Kraków, PL","Management Manufacturing","Contract","Management Consulting","Capgemini","Contract Management Lead","Mid-Senior level",
"Kraków, PL","Engineering Information Technology","Full-time","Management Consulting","TechRecruiters","Product Owner","Mid-Senior level",
"Kraków, PL","Engineering Information Technology","Full-time","Management Consulting","TechRecruiters","Product Owner","Mid-Senior level",
"Warsaw, PL","Business Development Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Business Analyst","Associate",
"Mielec, PL","Purchasing Supply Chain","Full-time","Banking Financial Services Investment Management","GRH Polska","Purchasing specialist","Entry level",
"Mielec, PL","Purchasing Supply Chain","Full-time","Banking Financial Services Investment Management","GRH Polska","Purchasing specialist","Entry level",
"Piastów, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","Takeaway. com","Takeaway. com: Praca Na Zmiany - Kurier Warszawa","Entry level",
"Piaseczno, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","Takeaway. com","Takeaway. com: Praca Na Zmiany - Kurier Warszawa","Entry level",
"Ząbki, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","Takeaway. com","Takeaway. com: Praca Na Zmiany - Kurier Warszawa","Entry level",
"Warsaw, PL","Other","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Private Capital Fund Operations (Junior) Specialist","Entry level",
"Warsaw, PL","Design Art/Creative Information Technology","Full-time","Banking Financial Services Investment Management","prywatny","Rysownik do projektu kart pracy","Entry level",
"Bogucin, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","KUCHARZ","Entry level",
"Opole, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","KUCHARZ","Entry level",
"Opole, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","Centralna Baza Ofert Pracy","KUCHARZ","Entry level",
"Jastrzębie Zdrój, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","BUSINESS SOLUTIONS Wojciech Karłowski","KUCHARZ","Entry level",
"Jastrzębie Zdrój, PL","Management Manufacturing","Full-time","Banking Financial Services Investment Management","BUSINESS SOLUTIONS Wojciech Karłowski","KUCHARZ","Entry level",
"Gdańsk, PL","Engineering Information Technology","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","STX Next","Product Owner","Director",
"Warsaw, PL","Management Manufacturing","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","Max Poland Sp. z o.o.","Kierownik zmiany","Mid-Senior level",
"Warsaw, PL","Management Manufacturing","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","Max Poland Sp. z o.o.","Kierownik zmiany","Mid-Senior level",
"Warsaw, PL","Other","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","POLALA","osoba sprzątająca","Mid-Senior level",
"Warsaw, PL","Other","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","POLALA","osoba sprzątająca","Mid-Senior level",
"Warsaw, PL","Other","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","Wladyslaw","praca marketołog","Mid-Senior level",
"Warsaw, PL","Other","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","BRUNEX","PRACA ZA GRANICA","Mid-Senior level",
"Warsaw, PL","Other","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","BRUNEX","PRACA ZA GRANICA","Mid-Senior level",
"Szczecin, PL","Sales Business Development","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","Magma Sp. Z O.O","MAGAZYNIER","Entry level",
"Szczecin, PL","Sales Business Development","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","Magma Sp. Z O.O","MAGAZYNIER","Entry level",
"Kowalewo Pomorskie, PL","Other","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","Olkop Sp. z o.o.","Tokarz/Frezer","Entry level",
"Kowalewo Pomorskie, PL","Other","Full-time","Online Media Apparel & Fashion Staffing & Recruiting","Olkop Sp. z o.o.","Tokarz/Frezer","Entry level",
"Kraków, PL","Education Training","Internship","Information Technology & Services Computer Software Financial Services","PerkinElmer","Paid internship in Finance Team US (late hours)","Internship",
"Kraków, PL","Education Training","Internship","Information Technology & Services Computer Software Financial Services","PerkinElmer","Paid internship in Finance Team US (late hours)","Internship",
"Gdynia, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway. com","Takeaway. com: Kurier Gdynia","Entry level",
"Gdynia, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway. com","Takeaway. com: Kurier Gdynia","Entry level",
"Rumia, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway. com","Takeaway. com: Kurier Gdynia","Entry level",
"Rumia, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway. com","Takeaway. com: Kurier Gdynia","Entry level",
"Pruszcz Gdański, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway. com","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Gdansk","Entry level",
"Sopot, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway. com","Takeaway. com: Kurier Gdansk","Entry level",
"Pruszcz Gdański, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway. com","Takeaway. com: Kurier Gdansk","Entry level",
"Pruszcz Gdański, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway. com","Takeaway. com: Kurier Gdansk","Entry level",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Computer Software Financial Services","Majkoltrans Sp.z o.o.","Maszynista","Entry level",
"Piła, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Posrednictwo pracy Magnat","Traktorzysta - Niemcy","Entry level",
"Wrocław, PL","Other","Full-time","Information Technology & Services Internet Computer & Network Security","Alten Polska Sp. z o.o.","Junior Ethical Hacker / Pentester","Entry level",
"Warsaw, PL","Other","Full-time","Information Technology & Services Internet Computer & Network Security","Alten Polska Sp. z o.o.","Junior Ethical Hacker / Pentester","Entry level",
"Gdańsk, PL","Other","Full-time","Information Technology & Services Internet Computer & Network Security","Centralna Baza Ofert Pracy","SALOWA","Entry level",
"Gdańsk, PL","Other","Full-time","Information Technology & Services Internet Computer & Network Security","Centralna Baza Ofert Pracy","SALOWA","Entry level",
"Kraków, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Financial Services","J-Solutons","Product Owner","Director",
"Kraków, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Financial Services","J-Solutons","Product Owner","Director",
"Pyskowice, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","MCK Gliwice","Elektromonter","Entry level",
"Pyskowice, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","MCK Gliwice","Elektromonter","Entry level",
"Kutno, PL","Sales Business Development","Full-time","Information Technology & Services Computer Software Financial Services","Prime Staff","Magazynier","Entry level",
"Rogoźno, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","PACK SERVICE S.C.","Pakowacz","Entry level",
"Kielce, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Włoska Kielce","Kucharz","Entry level",
"Kielce, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Włoska Kielce","Kucharz","Entry level",
"Będzin, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Przedsiębiorstwo Handlowo Usługowe Jawi Sp. z o.o.","Osoba sprzątająca","Entry level",
"Będzin, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Przedsiębiorstwo Handlowo Usługowe Jawi Sp. z o.o.","Osoba sprzątająca","Entry level",
"Kartoszyno, PL","Sales Business Development","Full-time","Information Technology & Services Computer Software Financial Services","Ratpol Sp.z o.o.","Magazynier","Entry level",
"Kartoszyno, PL","Sales Business Development","Full-time","Information Technology & Services Computer Software Financial Services","Ratpol Sp.z o.o.","Magazynier","Entry level",
"Sieciechów, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","PALETY","PRACA","Entry level",
"Sieciechów, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","PALETY","PRACA","Entry level",
"Kraków, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Kuratorium Oświaty w Krakowie","Zawodowe","Entry level",
"Kraków, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","Kuratorium Oświaty w Krakowie","Zawodowe","Entry level",
"Warsaw, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Financial Services","Si-eCommerce Sp. z o.o","Tester automatyczny","Entry level",
"Warsaw, PL","Finance Sales","Full-time","Banking Financial Services Investment Management","BNP Paribas 2","Junior Analyst in Financial Operations Area","Associate",
"Katowice, PL","Information Technology","Full-time","Information Technology & Services Computer Software Management Consulting","KUBO Sp. z o. o. Spółka komandytowa","Monitoring Lead","Entry level",
"Kraków, PL","Information Technology","Full-time","Information Technology & Services Computer Software Management Consulting","KUBO Sp. z o. o. Spółka komandytowa","Monitoring Lead","Entry level",
"Wrocław, PL","Education Training","Full-time","Information Technology & Services Computer Software Internet","OLX Group Remote","Remote Principal Backend Enginieer @ Olx Group","Director",
"Katowice, PL","Education Training","Full-time","Information Technology & Services Computer Software Internet","OLX Group Remote","Remote Principal Backend Enginieer @ Olx Group","Director",
"Warsaw, PL","Education Training","Full-time","Information Technology & Services Computer Software Internet","OLX Group Remote","Remote Principal Backend Enginieer @ Olx Group","Director",
"Warsaw, PL","Education Training","Full-time","Information Technology & Services Computer Software Internet","OLX Group Remote","Remote Principal Backend Enginieer @ Olx Group","Director",
"Warsaw, PL","Education Training","Full-time","Information Technology & Services Computer Software Internet","OLX Group Remote","Remote Principal Backend Enginieer @ Olx Group","Director",
"Mrągowo, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Przedsiębiorstwo Produkcyjno-Handlowe Łuński i S-ka","KUCHARZ","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Information Technology & Services Computer Software Internet","NTT Ltd.","Solutions Director","Director",
"Warsaw, PL","Business Development Sales","Full-time","Information Technology & Services Computer Software Internet","NTT Ltd.","Solutions Director","Director",
"Łódź, PL","Other","Full-time","Information Technology & Services Computer Software Internet","ORPEL-Spółdzielnia usług techniczno Handlowych i wdrożeń Łódź-Wschód","Szwaczka","Director",
"Łódź, PL","Other","Full-time","Information Technology & Services Computer Software Internet","ORPEL-Spółdzielnia usług techniczno Handlowych i wdrożeń Łódź-Wschód","Szwaczka","Director",
"Żeromin, PL","Sales Business Development","Full-time","Information Technology & Services Computer Software Internet","MAXFISH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","MAGAZYNIER","Entry level",
"Strzelce Opolskie, PL","Health Care Provider","Full-time","Information Technology & Services Computer Software Internet","Falck Medycyna Sp. z o.o.","Ratownik Medyczny","Entry level",
"Strzelce Opolskie, PL","Health Care Provider","Full-time","Information Technology & Services Computer Software Internet","Falck Medycyna Sp. z o.o.","Ratownik Medyczny","Entry level",
"Olsztyn, PL","Management Manufacturing","Full-time","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Tetra Laval Group","WCM Production Engineer - Future Talent Programme","Entry level",
"Ruda Śląska, PL","Sales Business Development","Full-time","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","MARKUS DYSTRYBUCJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Magazynier","Entry level",
"Sopot, PL","Other","Full-time","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Takeaway. com","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdansk","Entry level",
"Pruszcz Gdański, PL","Other","Full-time","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Takeaway. com","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdansk","Entry level",
"Pruszcz Gdański, PL","Other","Full-time","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Takeaway. com","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdansk","Entry level",
"Warsaw, PL","Other","Full-time","Information Technology & Services Internet Computer & Network Security","Alten Polska Sp. z o.o.","PENTESTER / Ethical Hacker","Entry level",
"Zabrze, PL","Information Technology","Full-time","Information Technology & Services Internet Computer & Network Security","SMART - HR","Administrator Sieci Internetowej","Entry level",
"Zabrze, PL","Information Technology","Full-time","Information Technology & Services Internet Computer & Network Security","SMART-HR","Administrator Sieci Internetowej","Entry level",
"Gdańsk, PL","Sales Business Development","Full-time","Information Technology & Services Internet Computer & Network Security","Progres HR Poland Sp. z o.o.(dawniej Progres Sp. z o. o. Sp. K.)","Magazynier","Entry level",
"Jutrosin, PL","Sales Business Development","Full-time","Information Technology & Services Internet Computer & Network Security","W.Legutko Przedsiębiorstwo Hodowlano-Nasienne Sp. z o.o.","MAGAZYNIER 02/12/2019","Entry level",
"Kraków, PL","Other","Full-time","Information Technology & Services Internet Computer & Network Security","Ce Edukacja","Osoba sprzątająca","Entry level",
"Katowice, PL","Information Technology","Full-time","Staffing & Recruiting","Power Media","DC Operations Engineer","Entry level",
"Lubin, PL","Engineering Information Technology","Full-time","Staffing & Recruiting","KGHM","Ślusarz","Entry level",
"Warsaw, PL","Information Technology","Full-time","Internet Insurance Hospital & Health Care","innogy Polska","Administrator Aplikacji Jira Innogy Polska","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Staffing & Recruiting Human Resources Management Consulting","Marsh LLC","Oliver Wyman - Warsaw - IT Risk & Controls Analyst","Associate",
"Warsaw, PL","Business Development Sales","Full-time","Staffing & Recruiting Human Resources Management Consulting","Marsh LLC","Oliver Wyman - Warsaw - IT Risk & Controls Analyst","Associate",
"Warsaw, PL","Business Development Sales","Full-time","Staffing & Recruiting Human Resources Management Consulting","Marsh LLC","Oliver Wyman - Warsaw - IT Risk & Controls Analyst","Associate",
"Warsaw, PL","Other","Full-time","Restaurants Food & Beverages Hospitality","Tomasz","Zatrudnię sprzedawcę","Associate",
"Warsaw, PL","Other","Full-time","Restaurants Food & Beverages Hospitality","Tomasz","Zatrudnię sprzedawcę","Associate",
"Konin, PL","Other","Full-time","Restaurants Food & Beverages Hospitality","CENTRODENT","zatrudnię sekretarkę","Associate",
"Konin, PL","Other","Full-time","Restaurants Food & Beverages Hospitality","CENTRODENT","zatrudnię sekretarkę","Associate",
"Kraków, PL","Administrative","Full-time","Information Technology & Services Computer Software Financial Services","Aon Versicherungsmakler Deutschland","Personal Assistant (Fixed-Term)","Entry level",
"Kraków, PL","Administrative","Full-time","Information Technology & Services Computer Software Financial Services","Aon Versicherungsmakler Deutschland","Personal Assistant (Fixed-Term)","Entry level",
"Wrocław, PL","Information Technology","Contract","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Diehl","Application support R&D / PLM","Entry level",
"Wrocław, PL","Information Technology","Contract","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Diehl","Application support R&D / PLM","Entry level",
"Gdańsk, PL","Other","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","ROBOD SA GUP w Gdańsku","Krojczy","Entry level",
"Gdańsk, PL","Other","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","ROBOD SA GUP w Gdańsku","Krojczy","Entry level",
"Wysokie Mazowieckie, PL","Other","Full-time","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","PKO BP FINAT Sp. z o. o.","PKO BP FINAT Sp. z o. o.: Programista Blockchain","Entry level",
"Wrocław, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","ASTEK Polska","Analityk Systemowy @ Astek Polska","Entry level",
"Wrocław, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","ASTEK Polska","Analityk Systemowy @ Astek Polska","Entry level",
"Piastów, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Piastów, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Ząbki, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Rumia, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Gdynia, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Warsaw, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Gdańsk, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Reda, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Piaseczno, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Pruszcz Gdański, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Kurier - Praca Dorywcza","Entry level",
"Trzebnica, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Gregorien Sp. z o.o.","Praca na budowie","Entry level",
"Trzebnica, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Gregorien Sp. z o.o.","Praca na budowie","Entry level",
"Białystok, PL","Quality Assurance","Full-time","Information Technology & Services Computer Software Internet","Leocode Sp. z o.o.","QA Tester (Manual + Automation)","Entry level",
"Białystok, PL","Quality Assurance","Full-time","Information Technology & Services Computer Software Internet","Leocode Sp. z o.o.","QA Tester (Manual + Automation)","Entry level",
"Warsaw, PL","Quality Assurance","Full-time","Information Technology & Services Computer Software Internet","ASTEK Polska","Tester Oprogramowania @ Astek Polska","Entry level",
"Warsaw, PL","Quality Assurance","Full-time","Information Technology & Services Computer Software Internet","ASTEK Polska","Tester Oprogramowania @ Astek Polska","Entry level",
"Opole, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Centralna Baza Ofert Pracy","KUCHARZ","Entry level",
"Bydgoszcz, PL","Other","Full-time","Information Technology & Services Computer Software Internet","sklep zoologiczny","sprzedawczynie zatrudnie do sklepu","Entry level",
"Poznań, PL","Other","Full-time","Information Technology & Services Computer Software Internet","ELIBUD Sp. z o.o.","Bloki monolityczne i murowane","Entry level",
"Poznań, PL","Other","Full-time","Information Technology & Services Computer Software Internet","ELIBUD Sp. z o.o.","Bloki monolityczne i murowane","Entry level",
"Piotrków Trybunalski, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Agencja Pracy Tymczasowej EMS Sp. z o.o.","Sortowanie paczek","Entry level",
"Piotrków Trybunalski, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Agencja Pracy Tymczasowej EMS Sp. z o.o.","Sortowanie paczek","Entry level",
"Jutrosin, PL","Sales Business Development","Full-time","Information Technology & Services Computer Software Internet","W.Legutko Przedsiębiorstwo Hodowlano-Nasienne Sp. z o.o.","MAGAZYNIER 02/12/2019","Entry level",
"Kraków, PL","Other","Full-time","Information Technology & Services Computer Software Internet","ART BAU GmbH","Murarz (NIEMCY)","Entry level",
"Kraków, PL","Other","Full-time","Information Technology & Services Computer Software Internet","ART BAU GmbH","Murarz (NIEMCY)","Entry level",
"Opole, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Foodjobs","Continuous Improvement Manager","Associate",
"Dąbrówka Tuchowska, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Wyrób art.gospodarstwa domowego z drewna DREW-POL Kazimierz Witek","Kucharz (O)","Entry level",
"Dąbrówka Tuchowska, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Internet","Wyrób art.gospodarstwa domowego z drewna DREW-POL Kazimierz Witek","Kucharz (O)","Entry level",
"Kraków, PL","Information Technology","Full-time","Electrical & Electronic Manufacturing Hospital & Health Care","GE Healthcare","Staff Product Security Analyst (Program and Data Analyst)","Associate",
"Kraków, PL","Engineering Information Technology","Full-time","Electrical & Electronic Manufacturing Hospital & Health Care","GE Healthcare","Staff Enterprise Application Engineer (Oracle EBS Finance)","Associate",
"Kraków, PL","Information Technology","Full-time","Electrical & Electronic Manufacturing Hospital & Health Care","GE Healthcare","Sr Product Security Analyst (cybersecurity affairs)","Associate",
"Kraków, PL","Finance Sales","Full-time","Electrical & Electronic Manufacturing Hospital & Health Care","GE Healthcare","Staff Risk Analyst (Software Governance Leader)","Associate",
"Kraków, PL","Information Technology","Full-time","Electrical & Electronic Manufacturing Hospital & Health Care","GE Healthcare","Identity & Access Management Engineer","Associate",
"Kraków, PL","Accounting/Auditing Finance","Full-time","Electrical & Electronic Manufacturing Hospital & Health Care","GE Healthcare","Staff Digital Auditor","Associate",
"Kraków, PL","Engineering Information Technology","Full-time","Electrical & Electronic Manufacturing Hospital & Health Care","GE Healthcare","Sr Software Engineer (SQL, C#, Telerik)","Associate",
"Kraków, PL","Other","Full-time","Electrical & Electronic Manufacturing Hospital & Health Care","GE Healthcare","Digital DevOps Engineer","Associate",
