,Time,Experience,Role,Industry,Size,Company,Salary,Remote,Locations,Tags,Min_Salary,Max_Salary,Currency,Min_Annual_Eur_Salary,Max_Annual_Eur_Salary,Additional
331,Full-time,Mid-Level,Architekt Rozwiązań,,,, 19000 - 25000 PLN ,, Warszawa ,"['java', 'spring', 'hibernate', 'rest', 'angular', 'english', 'communication skills', 'leadership skills', 'critical thinking']",19000.0,25000.0,PLN,49781.65938864629,65502.18340611354,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
332,Full-time,Mid-Level,Programista .Net Temporarily Remote,,,, 400 - 800 PLN ,, Warszawa ,"['.net', 'visual studio', 'rest', 'mvc', 'sql server', 'ms sql', 'web api', 'git', 'team player', 'communication skills', 'problem solving', 'proactivity', 'entity framework', 'azure']",400.0,800.0,PLN,167685.58951965065,41921.39737991266,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
333,Full-time,Mid-Level,Android Developer,,,, 17600 - 24800 PLN ,, Warszawa ,"['gradle', 'android', 'native android framework', 'android studio', 'git (gitflow)', 'google play (release handling, store handling)', 'english', 'team player', 'jenkins', 'firebase', 'azure devops (tfs/vsts)', 'scripting', 'charles proxy', 'large enterprise', 'banking', 'agile', 'distributed teams']",17600.0,24800.0,PLN,46113.53711790393,64978.16593886463,"{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-06-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}"
334,Full-time,Mid-Level,Junior/Regular DevOps,,,, 3000 - 5500 PLN ,, Gdansk ,"['linux', 'docker', 'aws', 'git', 'bash', 'english', 'team player', 'communication skills', 'critical thinking', 'problem solving', 'python', 'ansible', 'jenkins', 'puppet', 'terraform', 'nginx', 'mysql', 'postgresql', 'mongodb', 'understanding of the continuous delivery and continuous...', 'java environment understanding', 'deep understanding of the linux operating system', 'kubernetes', 'google cloud platform', 'golang', 'elk', 'packer', 'prometheus', 'proactivity', 'ability to solve network and application issues', 'growth mindset and willingness to learn', 'excellent communication skills with fluent english so y...']",3000.0,5500.0,PLN,7860.2620087336245,14410.480349344978,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
335,Full-time,Mid-Level,Tester oprogramowania,,,, 10000 - 13000 PLN ,, Warszawa ,"['linux', 'sql', 'uml', 'bpmn', 'postgresql', 'jboss', 'glassfish', 'selenium', 'soapui', 'codeui', 'xml', 'xsd', 'saml']",10000.0,13000.0,PLN,26200.873362445414,34061.135371179036,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
336,Full-time,Mid-Level,Remote Azure Data Engineer,,,,,,,"['azure', 'azure data factory', 'azure data lake', 'databricks', 'apache spark 2.3', 'python 3', 'pyspark', 'spark sql', 'azure sql dw', 'power bi', 'databricks delta lake', 'ci/cd', 'azure devops']",0.0,0.0,,,,"{' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (6 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
337,Full-time,Mid-Level,iOS Developer,,,, 9000 - 14000 PLN ,, Kraków ,"['swift', 'git', 'xcode', 'mvvm', 'ios', 'design patterns', 'english', 'team player', 'communication skills', 'solid principles', 'rest', 'objective-c']",9000.0,14000.0,PLN,23580.786026200873,36681.22270742358,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (4 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
338,Full-time,Mid-Level,Regular .NET Developer,,,, 6600 - 12100 PLN ,," Częstochowa, Gliwice, Sosnowiec ","['.net', 'entity framework', 'visual studio', 'rest', 'mvc', 'sql server', 'ms sql', 'javascript', 'polish', 'team player', 'communication skills', 'problem solving', 'azure', 'angular', 'typescript', 'english', 'critical thinking', 'proactivity']",6600.0,12100.0,PLN,17292.576419213972,31703.056768558952,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
339,Full-time,Mid-Level,System Integrator,,,, 16000 - 20000 PLN ,, Warszawa ,"['java', 'sql', 'git', 'spring', 'hibernate', 'apache', 'doświadczenie w tworzeniu rozwiązań integracyjnych', 'dobra znajomość platformy soa (wso2) lub tibco', 'znajomość architektury aplikacji webowych (j2ee)', 'dobra znajomość relacyjnych baz danych (oracle, mssql)', 'praktyczna znajomość usług sieciowych (soap)', 'technologii (xml, wsdl, xsd, ws-security, rest)', 'znajomość narzędzi case (sparx enterprise architect)', 'doświadczenie w pracy z rozproszoną architekturą', 'doświadczenie z aplikacjami wielowątkowymi', 'rest', 'linux', 'docker', 'aws', 'umiejętność projektowania (uml)', 'zaangażowanie i chęć ciągłego rozwoju', 'samodzielność i komunikatywność', 'english', 'team player', 'communication skills', 'problem solving', 'proactivity']",16000.0,20000.0,PLN,41921.39737991266,52401.74672489083,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
340,Full-time,Mid-Level,Expert Fullstack Java Engineer,,,, 21000 - 23000 PLN ,, Warszawa ,"['java', 'spring', 'jenkins', 'javascript', 'angular', 'typescript', 'jquery', 'postgresql', 'responsive web', 'english', 'team player', 'problem solving', 'css', 'aws', 'snaplogic', 'mule', 'polish']",21000.0,23000.0,PLN,55021.83406113537,60262.008733624454,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes  (14000 PLN) ', ' Freedom to choose tools ': ' No '}"
341,Full-time,Mid-Level,Junior Web Developer,,,, 4800 - 7900 PLN ,, Sopot ,"['javascript', 'git', 'css', 'html', 'vue.js', 'laravel', 'php', 'sql', 'bootstrap 4', 'rwd', 'cross browser', 'polish', 'team player', 'communication skills', 'problem solving', 'elasticsearch', 'seo', 'jira', 'confluence', 'english']",4800.0,7900.0,PLN,12576.419213973799,20698.689956331877,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
342,Full-time,Mid-Level,Junior System Administrator - Warsaw,,,, 3500 - 5000 PLN ,, Warszawa ,"['sql', 'proactivity', '.net', 'english', 'team player', 'communication skills', 'critical thinking', 'problem solving']",3500.0,5000.0,PLN,9170.305676855894,13100.436681222707,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
343,Full-time,Mid-Level,.NET Developer,,,, 6000 - 9000 PLN ,, Poznań ,"['.net', 'entity framework', 'visual studio', 'mvc', 'ms sql', 'web api', 'c#', 'polish', 'team player', 'problem solving', '.net core', 'aws cloud']",6000.0,9000.0,PLN,15720.524017467249,23580.786026200873,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
344,Full-time,Mid-Level,Java Developer with Azure (now Remotely),,,, 120 - 140 PLN ,, Wrocław ,"['java', 'docker', 'aws', 'azure', 'spring boot', 'english', 'tdd', '.net', 'agile']",120.0,140.0,PLN,50305.676855895195,58689.95633187773,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}"
345,Full-time,Mid-Level,Sr/Lead .net Developer,,,, 15000 - 18000 PLN ,, Warszawa ,"['.net', 'mvc', 'sql', 'c#', 'javascript', 'jquery', 'html', 'css']",15000.0,18000.0,PLN,39301.31004366812,47161.572052401745,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
346,Full-time,Mid-Level,Senior Backend Developer,,,, 13000 - 18000 PLN ,, Warszawa ,"['.net', 'azure', 'microsoft', 'ms sql', 'shell', 'web api', 'elasticsearch', 'postgresql', 'rediscache', 'rabbitmq', 'docker', 'kubernetes']",13000.0,18000.0,PLN,34061.135371179036,47161.572052401745,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
347,Full-time,Mid-Level,Middle Java Developer,,,, 7000 - 10000 PLN ,, Wrocław ,"['java', 'hibernate', 'spring', 'teamwork', 'git', 'jenkins', 'sql', 'agile development', 'polish']",7000.0,10000.0,PLN,18340.61135371179,26200.873362445414,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
348,Full-time,Mid-Level,Technical Analyst,,,, 40k - 70k HUF ,, Budapest ,"['sql', 'uml', 'bpmn', 'jira', 'business analysis', 'system analysis', 'java', 'microservices', 'english', 'enterprise architect', 'financial business domain', 'git']",40000.0,70000.0,HUF,108.71633191096132,190.25358084418232,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
349,Full-time,Mid-Level,IOS Developer,,,, 7000 - 10000 PLN ,, Cracow ,"['swift', 'git', 'rest', 'xcode', 'cocoapods', 'json', 'ios sdk', 'ios', 'architectural patterns', 'design patterns', 'english', 'team player', 'communication skills', 'critical thinking', 'problem solving', 'proactivity', 'mvvm', 'rxswift', 'objective-c', 'fastlane', 'viper', 'mvi']",7000.0,10000.0,PLN,18340.61135371179,26200.873362445414,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
350,Full-time,Mid-Level,JavaScript Frontend Developer,,,, 12000 - 17000 PLN ,, Warsaw ,"['javascript', 'git', 'typescript', 'angular', 'react', 'css', 'html', 'webpack', 'english', 'problem solving', 'proactivity', 'polish', 'team player', 'communication skills']",12000.0,17000.0,PLN,31441.048034934498,44541.4847161572,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
351,Full-time,Mid-Level,System Architect,,,, 20000 - 23000 PLN ,, Warszawa ,"['sql', 'git', 'rest', 'docker', 'aws', 'senior software engineer', 'modern web development', 'architecture documentation', 'ddd', 'architectural styles', 'application architecture styles', 'microservices', 'data persistence', 'cloud - on premis integration', 'kubernetes', 'jenkins', 'devops culture', 'enterprise architecture', 'uml', 'english', 'team player', 'communication skills', 'leadership skills', 'critical thinking', 'problem solving', 'proactivity', 'javascript', 'java', 'angular', 'react', 'node', 'php', 'python', 'typescript', 'big data', 'machine learning', 'aem architecture', 'archimate', 'bpmn', 'azure']",20000.0,23000.0,PLN,52401.74672489083,60262.008733624454,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
352,Full-time,Mid-Level,Senior Python Developer,,,, 16800 - 21840 PLN ,," Wrocław, Warszawa, Łódź ","['python', 'django', 'celery', 'english', 'polish', 'communication skills', 'problem solving', 'docker', 'kubernetes']",16800.0,21840.0,PLN,44017.467248908295,57222.70742358079,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
353,Full-time,Mid-Level,Remote Fullstack PHP (Prestashop),,,, 5000 - 8500 PLN ,, Wrocław ,"['php', 'mysql', 'git', 'javascript', 'css', 'html', 'english', 'polish', 'symfony', 'magento', 'wordpress', 'docker', 'prestashop', 'team player', 'communication skills', 'leadership skills', 'critical thinking', 'problem solving', 'proactivity']",5000.0,8500.0,PLN,13100.436681222707,22270.7423580786,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
354,Full-time,Mid-Level,.NET Developer,,,, 12000 - 20000 PLN ,, Warszawa ,"['.net', 'visual studio', 'mvc', 'sql server', 'ms sql', 'web api', 'asp.net', 'javascript', 'english', '.net core', 'angular 2+']",12000.0,20000.0,PLN,31441.048034934498,52401.74672489083,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
355,Full-time,Mid-Level,Java Developer,,,, 115 - 122 PLN ,, Warsaw ,"['java', 'rest', 'spring boot', 'microservices', 'english', 'team player', 'communication skills', 'polish', 'problem solving']",115.0,122.0,PLN,48209.60698689956,51144.10480349345,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (12 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
356,Full-time,Mid-Level,Python Engineer,,,, 110 - 118 PLN ,, Gdańsk ,"['python', 'git', 'docker', 'oracle', 'ms sql', 'bamboo', 'java', 'kafka', 'apache']",110.0,118.0,PLN,46113.53711790393,49467.24890829694,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (10 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}"
357,Full-time,Mid-Level,Senior Data Warehouse Developer,,,, 1000 - 1100 PLN ,, Warszawa ,"['sql', 'oracle db', 'pl/sql', 'data vault', 'hp-ux', 'oracle 12c']",1000.0,1100.0,PLN,52401.74672489083,57641.92139737991,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}"
358,Full-time,Mid-Level,Mid Fullstact (.NET + Angular) Developer,,,, 16000 - 18000 PLN ,," Warsaw, Wrocław ","['.net', 'entity framework', 'visual studio', 'angular', 'sql', 'html', 'ms sql', 'asp.net mvc', 'git', 'jira', 'team player', 'communication skills', 'critical thinking', 'problem solving', 'rest', '.net core', 'ant', 'msbuild', 'powershell', 'rabbitmq', 'ci/cd', 'teamcity']",16000.0,18000.0,PLN,41921.39737991266,47161.572052401745,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
359,Full-time,Mid-Level,Fullstack Java Cloud Developer,,,, 10620 - 18880 PLN ,," Kraków, Białystok, Wrocław ","['java', 'spring', 'git', 'rest', 'microservices', 'english', 'team player', 'communication skills', 'problem solving', 'proactivity', 'jenkins', 'javascript', 'html', 'css', 'react', 'cloud foundry', 'pair-programming', 'redis', 'mongodb', 'insurance']",10620.0,18880.0,PLN,27825.32751091703,49467.24890829694,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
360,Full-time,Mid-Level,Mid Software Engineer,,,, 10000 - 14000 PLN ,, Wrocław ,"['java', 'spring', 'jenkins', 'docker', 'aws', 'tdd', 'kafka', 'english', 'team player', 'agile', 'nosql', 'scala', 'python', 'typescript', 'ci/cd', 'react', 'react.native', 'communication skills', 'critical thinking', 'problem solving']",10000.0,14000.0,PLN,26200.873362445414,36681.22270742358,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
361,Full-time,Mid-Level,.NET Engineer,,,, 9000 - 18000 PLN ,, Warsaw ,"['.net', 'c#', 'azure', 'microsoft', 'english', 'polish', 'eagerness to learn']",9000.0,18000.0,PLN,23580.786026200873,47161.572052401745,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}"
362,Full-time,Mid-Level,Mid Python Developer,,,, 10000 - 14000 PLN ,, Wrocław ,"['python', 'django', 'postgresql', 'git', 'rest', 'svn', 'algorithms', 'jenkins', 'english', 'team player', 'communication skills', 'linux', 'aws', 'cloud', 'react']",10000.0,14000.0,PLN,26200.873362445414,36681.22270742358,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
363,Full-time,Mid-Level,Senior Fullstack (Ruby On Rails & JS) Engineer,,,, 18000 - 23000 PLN ,, Kraków ,"['javascript', 'html', 'css', 'git', 'ruby on rails', 'english', 'team player', 'angular', 'react', 'aws', 'vue']",18000.0,23000.0,PLN,47161.572052401745,60262.008733624454,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}"
364,Full-time,Mid-Level,Frontend Developer,,,, 8000 - 14000 PLN ,, Katowice ,"['react', 'javascript', 'css', 'git', 'rest', 'polish', 'redux', 'webpack', 'typescript', 'team player']",8000.0,14000.0,PLN,20960.69868995633,36681.22270742358,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
365,Full-time,Mid-Level,Mid/Senior Scala Developer,,,, 10000 - 20000 PLN ,, Gdańsk ,"['scala', 'akka', 'docker', 'rest', 'polish', 'team player', 'communication skills', 'spark', 'kafka', 'cassandra', 'rabbitmq', 'ansible', 'mysql', 'ddd', 'tdd', 'akka-streams', 'akka-cluster', 'english']",10000.0,20000.0,PLN,26200.873362445414,52401.74672489083,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (3 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
366,Full-time,Mid-Level,Senior Unix/Shell Developer,,,, 16000 - 20000 PLN ,, Warszawa ,"['sql', 'shell', 'unix', 'perl', 'pl/sql', 'english', 'communication skills', 'jee', 'team player', 'critical thinking', 'problem solving']",16000.0,20000.0,PLN,41921.39737991266,52401.74672489083,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
367,Full-time,Mid-Level,Senior React Native Developer,,,, 11500 - 17250 PLN ,," Poznań, Warsaw, Wrocław, Kraków, Gdańsk, Białystok, Łódź, Katowice ","['react native', 'react', 'redux / mobx', 'es2015+', 'ramda / lodash', 'git', 'android studio', 'xcode', 'continuous integration', 'knowledge sharing', 'english']",11500.0,17250.0,PLN,30131.004366812227,45196.50655021834,"{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
368,Full-time,Mid-Level,Manual Test Engineer,,,, 2600 - 5000 PLN ,, Gliwice ,"['sql', 'manual testing', 'english', 'polish', 'team player', 'communication skills', 'critical thinking', 'problem solving', 'analytical skills', 'selenium', 'sql', 'jira', 'javascript', 'postman', 'soapul', 'jmeter']",2600.0,5000.0,PLN,6812.227074235808,13100.436681222707,"{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
369,Full-time,Mid-Level,Open Source Backend Engineer,,,, 16000 - 24000 PLN ,," Warsaw, Kraków ","['java', 'strong coding skills', 'msc or equivalent experience', 'unix', 'distributed systems', 'scala', 'python', 'golang', 'ruby', 'open source contributions', 'english', 'troubleshooting skills', 'tcp/ip fundamentals', '4 years of commercial experience', 'docker', 'nosql', 'aws', 'linux', 'elasticsearch', 'kafka', 'cassandra', 'zookeeper', 'tdd', 'high availability', 'scalability', 'machine learning', 'c++', 'kubernetes', 'apache', 'polish', 'team player', 'problem solving', 'self-driven']",16000.0,24000.0,PLN,41921.39737991266,62882.096069868996,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes  (15000 PLN) ', ' Freedom to choose tools ': ' Yes '}"
370,Full-time,Mid-Level,Senior Java Developer,,,, 22000 - 30000 PLN ,, Warszawa ,"['java', 'sql', 'nosql', 'english', 'communication skills', 'rest', 'java se', 'gitlab', 'testing']",22000.0,30000.0,PLN,57641.92139737991,78602.62008733624,"{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
371,Full-time,Mid-Level,Mid iOS Developer,,,, 17600 - 22600 PLN ,, Warszawa ,"['ios', 'git (gitflow)', 'native ios framework', 'swift 5/objective-c', 'rest api', 'appstore connect (release handling, store handling)', 'english', 'team player', 'jenkins', 'fastlane', 'firebase', 'azure devops (tfs/vsts)', 'scripting', 'charles proxy', 'large enterprise', 'ruby', 'banking', 'agile', 'distributed teams']",17600.0,22600.0,PLN,46113.53711790393,59213.97379912664,"{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-06-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}"
