"Company Name","Industry","Employment Type","Seniority Level","Company Location","position","Job Functions"
"ATUT","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kraków, PL","Zatrudnię szkoleniowców","Other",
"ATUT","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kraków, PL","Zatrudnię szkoleniowców","Other",
"Kuratorium Oświaty w Rzeszowie","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Majdan Królewski, PL","Neurologopeda","Other",
"Kuratorium Oświaty w Rzeszowie","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Majdan Królewski, PL","Neurologopeda","Other",
"Dakpol Sp. z o. o.","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Wolsztyn, PL","Oferty pracy dla kierowców","Other",
"Atos","Information Technology & Services Computer Software Computer & Network Security","Full-time","Entry level","Warząchewka Polska, PL","Operations Enginner","Engineering Information Technology",
"Conduent","Information Technology & Services Insurance Financial Services","Full-time","Associate","Łódź, PL","Transformation Consultant","Business Development Sales",
"Takeaway.com","Information Technology & Services Insurance Financial Services","Full-time","Associate","Zukowo, PL","Praca na zmiany - Dostarczaj z jedzenia Gdansk","Other",
"GEST RISORSE SP. Z O.O.","Information Technology & Services Insurance Financial Services","Full-time","Associate","Opole, PL","PIELEGNIARKI OSS","Other",
"CBRE CORPORATE OUTSOURCING Sp. z o. o.","Information Technology & Services Banking Financial Services","Full-time","Associate","Warsaw, PL","Client reporting Analyst","Information Technology",
"Oferta zamknięta. Dane pracodawcy dostępne w urzędzie.","Information Technology & Services Banking Financial Services","Full-time","Entry level","Gdańsk, PL","Kucharz","Management Manufacturing",
"Takeaway.com","Information Technology & Services Banking Financial Services","Full-time","Entry level","Zukowo, PL","Dostarczaj z jedzenia Gdansk","Other",
"Takeaway.com","Information Technology & Services Banking Financial Services","Full-time","Entry level","Zukowo, PL","Dostarczaj z jedzenia Gdansk","Other",
"Centralna Baza Ofert Pracy","Information Technology & Services Banking Financial Services","Full-time","Entry level","Wasilków, PL","SPRZĄTAJĄCA","Other",
"Centralna Baza Ofert Pracy","Information Technology & Services Banking Financial Services","Full-time","Entry level","Wasilków, PL","SPRZĄTAJĄCA","Other",
"Innovated","Information Technology & Services Banking Financial Services","Full-time","Entry level","Kraków, PL","Wykonam szybko profesjonalną stronę internetową za 129 zł","Other",
"Usługi komunalno-transportowe AMAR Mariusz Rudnik","Information Technology & Services Banking Financial Services","Full-time","Entry level","Lichnowy, PL","Brukarz","Other",
"Usługi komunalno-transportowe AMAR Mariusz Rudnik","Information Technology & Services Banking Financial Services","Full-time","Entry level","Lichnowy, PL","Brukarz","Other",
"Capgemini","Management Consulting","Contract","Mid-Senior level","Kraków, PL","Contract Management Lead","Management Manufacturing",
"Capgemini","Management Consulting","Contract","Mid-Senior level","Kraków, PL","Contract Management Lead","Management Manufacturing",
"TechRecruiters","Management Consulting","Full-time","Mid-Senior level","Kraków, PL","Product Owner","Engineering Information Technology",
"TechRecruiters","Management Consulting","Full-time","Mid-Senior level","Kraków, PL","Product Owner","Engineering Information Technology",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Associate","Warsaw, PL","Business Analyst","Business Development Sales",
"GRH Polska","Banking Financial Services Investment Management","Full-time","Entry level","Mielec, PL","Purchasing specialist","Purchasing Supply Chain",
"GRH Polska","Banking Financial Services Investment Management","Full-time","Entry level","Mielec, PL","Purchasing specialist","Purchasing Supply Chain",
"Takeaway. com","Banking Financial Services Investment Management","Full-time","Entry level","Piastów, PL","Takeaway. com: Praca Na Zmiany - Kurier Warszawa","Management Manufacturing",
"Takeaway. com","Banking Financial Services Investment Management","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Praca Na Zmiany - Kurier Warszawa","Management Manufacturing",
"Takeaway. com","Banking Financial Services Investment Management","Full-time","Entry level","Ząbki, PL","Takeaway. com: Praca Na Zmiany - Kurier Warszawa","Management Manufacturing",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Private Capital Fund Operations (Junior) Specialist","Other",
"prywatny","Banking Financial Services Investment Management","Full-time","Entry level","Warsaw, PL","Rysownik do projektu kart pracy","Design Art/Creative Information Technology",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Bogucin, PL","KUCHARZ","Management Manufacturing",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Opole, PL","KUCHARZ","Management Manufacturing",
"Centralna Baza Ofert Pracy","Banking Financial Services Investment Management","Full-time","Entry level","Opole, PL","KUCHARZ","Management Manufacturing",
"BUSINESS SOLUTIONS Wojciech Karłowski","Banking Financial Services Investment Management","Full-time","Entry level","Jastrzębie Zdrój, PL","KUCHARZ","Management Manufacturing",
"BUSINESS SOLUTIONS Wojciech Karłowski","Banking Financial Services Investment Management","Full-time","Entry level","Jastrzębie Zdrój, PL","KUCHARZ","Management Manufacturing",
"STX Next","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Director","Gdańsk, PL","Product Owner","Engineering Information Technology",
"Max Poland Sp. z o.o.","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Mid-Senior level","Warsaw, PL","Kierownik zmiany","Management Manufacturing",
"Max Poland Sp. z o.o.","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Mid-Senior level","Warsaw, PL","Kierownik zmiany","Management Manufacturing",
"POLALA","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Mid-Senior level","Warsaw, PL","osoba sprzątająca","Other",
"POLALA","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Mid-Senior level","Warsaw, PL","osoba sprzątająca","Other",
"Wladyslaw","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Mid-Senior level","Warsaw, PL","praca marketołog","Other",
"BRUNEX","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Mid-Senior level","Warsaw, PL","PRACA ZA GRANICA","Other",
"BRUNEX","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Mid-Senior level","Warsaw, PL","PRACA ZA GRANICA","Other",
"Magma Sp. Z O.O","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Entry level","Szczecin, PL","MAGAZYNIER","Sales Business Development",
"Magma Sp. Z O.O","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Entry level","Szczecin, PL","MAGAZYNIER","Sales Business Development",
"Olkop Sp. z o.o.","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Entry level","Kowalewo Pomorskie, PL","Tokarz/Frezer","Other",
"Olkop Sp. z o.o.","Online Media Apparel & Fashion Staffing & Recruiting","Full-time","Entry level","Kowalewo Pomorskie, PL","Tokarz/Frezer","Other",
"PerkinElmer","Information Technology & Services Computer Software Financial Services","Internship","Internship","Kraków, PL","Paid internship in Finance Team US (late hours)","Education Training",
"PerkinElmer","Information Technology & Services Computer Software Financial Services","Internship","Internship","Kraków, PL","Paid internship in Finance Team US (late hours)","Education Training",
"Takeaway. com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Gdynia, PL","Takeaway. com: Kurier Gdynia","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Gdynia, PL","Takeaway. com: Kurier Gdynia","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Rumia, PL","Takeaway. com: Kurier Gdynia","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Rumia, PL","Takeaway. com: Kurier Gdynia","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Pruszcz Gdański, PL","Takeaway. com: Praca W Weekendy - Dostarczaj Z Jedzenia Gdansk","Other",
"Takeaway. com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Sopot, PL","Takeaway. com: Kurier Gdansk","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Pruszcz Gdański, PL","Takeaway. com: Kurier Gdansk","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Pruszcz Gdański, PL","Takeaway. com: Kurier Gdansk","Management Manufacturing",
"Majkoltrans Sp.z o.o.","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Wrocław, PL","Maszynista","Administrative",
"Posrednictwo pracy Magnat","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Piła, PL","Traktorzysta - Niemcy","Other",
"Alten Polska Sp. z o.o.","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Wrocław, PL","Junior Ethical Hacker / Pentester","Other",
"Alten Polska Sp. z o.o.","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Warsaw, PL","Junior Ethical Hacker / Pentester","Other",
"Centralna Baza Ofert Pracy","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Gdańsk, PL","SALOWA","Other",
"Centralna Baza Ofert Pracy","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Gdańsk, PL","SALOWA","Other",
"J-Solutons","Information Technology & Services Computer Software Financial Services","Full-time","Director","Kraków, PL","Product Owner","Engineering Information Technology",
"J-Solutons","Information Technology & Services Computer Software Financial Services","Full-time","Director","Kraków, PL","Product Owner","Engineering Information Technology",
"MCK Gliwice","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Pyskowice, PL","Elektromonter","Management Manufacturing",
"MCK Gliwice","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Pyskowice, PL","Elektromonter","Management Manufacturing",
"Prime Staff","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kutno, PL","Magazynier","Sales Business Development",
"PACK SERVICE S.C.","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Rogoźno, PL","Pakowacz","Management Manufacturing",
"Włoska Kielce","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kielce, PL","Kucharz","Management Manufacturing",
"Włoska Kielce","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kielce, PL","Kucharz","Management Manufacturing",
"Przedsiębiorstwo Handlowo Usługowe Jawi Sp. z o.o.","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Będzin, PL","Osoba sprzątająca","Other",
"Przedsiębiorstwo Handlowo Usługowe Jawi Sp. z o.o.","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Będzin, PL","Osoba sprzątająca","Other",
"Ratpol Sp.z o.o.","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kartoszyno, PL","Magazynier","Sales Business Development",
"Ratpol Sp.z o.o.","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kartoszyno, PL","Magazynier","Sales Business Development",
"PALETY","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Sieciechów, PL","PRACA","Other",
"PALETY","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Sieciechów, PL","PRACA","Other",
"Kuratorium Oświaty w Krakowie","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kraków, PL","Zawodowe","Other",
"Kuratorium Oświaty w Krakowie","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kraków, PL","Zawodowe","Other",
"Si-eCommerce Sp. z o.o","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Warsaw, PL","Tester automatyczny","Engineering Information Technology",
"BNP Paribas 2","Banking Financial Services Investment Management","Full-time","Associate","Warsaw, PL","Junior Analyst in Financial Operations Area","Finance Sales",
"KUBO Sp. z o. o. Spółka komandytowa","Information Technology & Services Computer Software Management Consulting","Full-time","Entry level","Katowice, PL","Monitoring Lead","Information Technology",
"KUBO Sp. z o. o. Spółka komandytowa","Information Technology & Services Computer Software Management Consulting","Full-time","Entry level","Kraków, PL","Monitoring Lead","Information Technology",
"OLX Group Remote","Information Technology & Services Computer Software Internet","Full-time","Director","Wrocław, PL","Remote Principal Backend Enginieer @ Olx Group","Education Training",
"OLX Group Remote","Information Technology & Services Computer Software Internet","Full-time","Director","Katowice, PL","Remote Principal Backend Enginieer @ Olx Group","Education Training",
"OLX Group Remote","Information Technology & Services Computer Software Internet","Full-time","Director","Warsaw, PL","Remote Principal Backend Enginieer @ Olx Group","Education Training",
"OLX Group Remote","Information Technology & Services Computer Software Internet","Full-time","Director","Warsaw, PL","Remote Principal Backend Enginieer @ Olx Group","Education Training",
"OLX Group Remote","Information Technology & Services Computer Software Internet","Full-time","Director","Warsaw, PL","Remote Principal Backend Enginieer @ Olx Group","Education Training",
"Przedsiębiorstwo Produkcyjno-Handlowe Łuński i S-ka","Information Technology & Services Computer Software Internet","Full-time","Entry level","Mrągowo, PL","KUCHARZ","Management Manufacturing",
"NTT Ltd.","Information Technology & Services Computer Software Internet","Full-time","Director","Warsaw, PL","Solutions Director","Business Development Sales",
"NTT Ltd.","Information Technology & Services Computer Software Internet","Full-time","Director","Warsaw, PL","Solutions Director","Business Development Sales",
"ORPEL-Spółdzielnia usług techniczno Handlowych i wdrożeń Łódź-Wschód","Information Technology & Services Computer Software Internet","Full-time","Director","Łódź, PL","Szwaczka","Other",
"ORPEL-Spółdzielnia usług techniczno Handlowych i wdrożeń Łódź-Wschód","Information Technology & Services Computer Software Internet","Full-time","Director","Łódź, PL","Szwaczka","Other",
"MAXFISH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Information Technology & Services Computer Software Internet","Full-time","Entry level","Żeromin, PL","MAGAZYNIER","Sales Business Development",
"Falck Medycyna Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Strzelce Opolskie, PL","Ratownik Medyczny","Health Care Provider",
"Falck Medycyna Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Strzelce Opolskie, PL","Ratownik Medyczny","Health Care Provider",
"Tetra Laval Group","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Full-time","Entry level","Olsztyn, PL","WCM Production Engineer - Future Talent Programme","Management Manufacturing",
"MARKUS DYSTRYBUCJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Full-time","Entry level","Ruda Śląska, PL","Magazynier","Sales Business Development",
"Takeaway. com","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Full-time","Entry level","Sopot, PL","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdansk","Other",
"Takeaway. com","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Full-time","Entry level","Pruszcz Gdański, PL","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdansk","Other",
"Takeaway. com","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Full-time","Entry level","Pruszcz Gdański, PL","Takeaway. com: Praca Dorywcza - Dostarczaj Z Jedzenia Gdansk","Other",
"Alten Polska Sp. z o.o.","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Warsaw, PL","PENTESTER / Ethical Hacker","Other",
"SMART - HR","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Zabrze, PL","Administrator Sieci Internetowej","Information Technology",
"SMART-HR","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Zabrze, PL","Administrator Sieci Internetowej","Information Technology",
"Progres HR Poland Sp. z o.o.(dawniej Progres Sp. z o. o. Sp. K.)","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Gdańsk, PL","Magazynier","Sales Business Development",
"W.Legutko Przedsiębiorstwo Hodowlano-Nasienne Sp. z o.o.","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Jutrosin, PL","MAGAZYNIER 02/12/2019","Sales Business Development",
"Ce Edukacja","Information Technology & Services Internet Computer & Network Security","Full-time","Entry level","Kraków, PL","Osoba sprzątająca","Other",
"Power Media","Staffing & Recruiting","Full-time","Entry level","Katowice, PL","DC Operations Engineer","Information Technology",
"KGHM","Staffing & Recruiting","Full-time","Entry level","Lubin, PL","Ślusarz","Engineering Information Technology",
"innogy Polska","Internet Insurance Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Administrator Aplikacji Jira Innogy Polska","Information Technology",
"Marsh LLC","Staffing & Recruiting Human Resources Management Consulting","Full-time","Associate","Warsaw, PL","Oliver Wyman - Warsaw - IT Risk & Controls Analyst","Business Development Sales",
"Marsh LLC","Staffing & Recruiting Human Resources Management Consulting","Full-time","Associate","Warsaw, PL","Oliver Wyman - Warsaw - IT Risk & Controls Analyst","Business Development Sales",
"Marsh LLC","Staffing & Recruiting Human Resources Management Consulting","Full-time","Associate","Warsaw, PL","Oliver Wyman - Warsaw - IT Risk & Controls Analyst","Business Development Sales",
"Tomasz","Restaurants Food & Beverages Hospitality","Full-time","Associate","Warsaw, PL","Zatrudnię sprzedawcę","Other",
"Tomasz","Restaurants Food & Beverages Hospitality","Full-time","Associate","Warsaw, PL","Zatrudnię sprzedawcę","Other",
"CENTRODENT","Restaurants Food & Beverages Hospitality","Full-time","Associate","Konin, PL","zatrudnię sekretarkę","Other",
"CENTRODENT","Restaurants Food & Beverages Hospitality","Full-time","Associate","Konin, PL","zatrudnię sekretarkę","Other",
"Aon Versicherungsmakler Deutschland","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kraków, PL","Personal Assistant (Fixed-Term)","Administrative",
"Aon Versicherungsmakler Deutschland","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kraków, PL","Personal Assistant (Fixed-Term)","Administrative",
"Diehl","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Contract","Entry level","Wrocław, PL","Application support R&D / PLM","Information Technology",
"Diehl","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Contract","Entry level","Wrocław, PL","Application support R&D / PLM","Information Technology",
"ROBOD SA GUP w Gdańsku","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Full-time","Entry level","Gdańsk, PL","Krojczy","Other",
"ROBOD SA GUP w Gdańsku","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Full-time","Entry level","Gdańsk, PL","Krojczy","Other",
"PKO BP FINAT Sp. z o. o.","Electrical & Electronic Manufacturing Information Technology & Services Mechanical Or Industrial Engineering","Full-time","Entry level","Wysokie Mazowieckie, PL","PKO BP FINAT Sp. z o. o.: Programista Blockchain","Other",
"ASTEK Polska","Information Technology & Services Computer Software Internet","Full-time","Entry level","Wrocław, PL","Analityk Systemowy @ Astek Polska","Information Technology",
"ASTEK Polska","Information Technology & Services Computer Software Internet","Full-time","Entry level","Wrocław, PL","Analityk Systemowy @ Astek Polska","Information Technology",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Piastów, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Piastów, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Ząbki, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Rumia, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Gdynia, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Warsaw, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Gdańsk, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Reda, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Pruszcz Gdański, PL","Takeaway. com: Kurier - Praca Dorywcza","Management Manufacturing",
"Gregorien Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Trzebnica, PL","Praca na budowie","Other",
"Gregorien Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Trzebnica, PL","Praca na budowie","Other",
"Leocode Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Białystok, PL","QA Tester (Manual + Automation)","Quality Assurance",
"Leocode Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Białystok, PL","QA Tester (Manual + Automation)","Quality Assurance",
"ASTEK Polska","Information Technology & Services Computer Software Internet","Full-time","Entry level","Warsaw, PL","Tester Oprogramowania @ Astek Polska","Quality Assurance",
"ASTEK Polska","Information Technology & Services Computer Software Internet","Full-time","Entry level","Warsaw, PL","Tester Oprogramowania @ Astek Polska","Quality Assurance",
"Centralna Baza Ofert Pracy","Information Technology & Services Computer Software Internet","Full-time","Entry level","Opole, PL","KUCHARZ","Management Manufacturing",
"sklep zoologiczny","Information Technology & Services Computer Software Internet","Full-time","Entry level","Bydgoszcz, PL","sprzedawczynie zatrudnie do sklepu","Other",
"ELIBUD Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Poznań, PL","Bloki monolityczne i murowane","Other",
"ELIBUD Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Poznań, PL","Bloki monolityczne i murowane","Other",
"Agencja Pracy Tymczasowej EMS Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Piotrków Trybunalski, PL","Sortowanie paczek","Other",
"Agencja Pracy Tymczasowej EMS Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Piotrków Trybunalski, PL","Sortowanie paczek","Other",
"W.Legutko Przedsiębiorstwo Hodowlano-Nasienne Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Jutrosin, PL","MAGAZYNIER 02/12/2019","Sales Business Development",
"ART BAU GmbH","Information Technology & Services Computer Software Internet","Full-time","Entry level","Kraków, PL","Murarz (NIEMCY)","Other",
"ART BAU GmbH","Information Technology & Services Computer Software Internet","Full-time","Entry level","Kraków, PL","Murarz (NIEMCY)","Other",
"Foodjobs","Information Technology & Services Computer Software Internet","Full-time","Associate","Opole, PL","Continuous Improvement Manager","Management Manufacturing",
"Wyrób art.gospodarstwa domowego z drewna DREW-POL Kazimierz Witek","Information Technology & Services Computer Software Internet","Full-time","Entry level","Dąbrówka Tuchowska, PL","Kucharz (O)","Management Manufacturing",
"Wyrób art.gospodarstwa domowego z drewna DREW-POL Kazimierz Witek","Information Technology & Services Computer Software Internet","Full-time","Entry level","Dąbrówka Tuchowska, PL","Kucharz (O)","Management Manufacturing",
"GE Healthcare","Electrical & Electronic Manufacturing Hospital & Health Care","Full-time","Associate","Kraków, PL","Staff Product Security Analyst (Program and Data Analyst)","Information Technology",
"GE Healthcare","Electrical & Electronic Manufacturing Hospital & Health Care","Full-time","Associate","Kraków, PL","Staff Enterprise Application Engineer (Oracle EBS Finance)","Engineering Information Technology",
"GE Healthcare","Electrical & Electronic Manufacturing Hospital & Health Care","Full-time","Associate","Kraków, PL","Sr Product Security Analyst (cybersecurity affairs)","Information Technology",
"GE Healthcare","Electrical & Electronic Manufacturing Hospital & Health Care","Full-time","Associate","Kraków, PL","Staff Risk Analyst (Software Governance Leader)","Finance Sales",
"GE Healthcare","Electrical & Electronic Manufacturing Hospital & Health Care","Full-time","Associate","Kraków, PL","Identity & Access Management Engineer","Information Technology",
"GE Healthcare","Electrical & Electronic Manufacturing Hospital & Health Care","Full-time","Associate","Kraków, PL","Staff Digital Auditor","Accounting/Auditing Finance",
"GE Healthcare","Electrical & Electronic Manufacturing Hospital & Health Care","Full-time","Associate","Kraków, PL","Sr Software Engineer (SQL, C#, Telerik)","Engineering Information Technology",
"GE Healthcare","Electrical & Electronic Manufacturing Hospital & Health Care","Full-time","Associate","Kraków, PL","Digital DevOps Engineer","Other",
